CarparkValue,latitude,longitude,Carpark_Number,dist
1737,1.3336670998148838,103.9132461064393,KE4,6.253106624266913
1573,1.3849380921344543,103.76768309160978,BJ29,22.59208639936005
1123,1.3580941783804652,103.94561015235313,T72,7.773619945300529
353,1.365691620587143,103.84119216501767,A4,14.524698341689213
786,1.3647534118811009,103.84939765277372,A24,13.735927326487014
1320,1.319937742298494,103.8878497929119,GEML,7.399122401133655
263,1.4332851933446518,103.78930198286736,W509,23.775963978668262
58,1.4341673493432678,103.79077629022994,W516,23.722864270686078
173,1.375720842728826,103.90068924136004,HG1B,10.977591673809723
1444,1.383267483822887,103.7704682675234,BJ24,22.23126950718797
550,1.3826405383885652,103.77095043939003,BJ27,22.150969574715074
286,1.32834200532456,103.93039617992274,B11,4.802754045440602
496,1.437361837023011,103.80114955716316,W86,23.148710275686216
422,1.4358427798925448,103.7985543315889,W89,23.231150568040842
364,1.3862485761850714,103.75770261335524,BJ66,23.640780835092833
1601,1.3873499559694629,103.75798290360116,BJ67,23.66995100321076
1535,1.2765122720178543,103.80981167433968,TB18,15.236985658316334
839,1.3470782741084315,103.9341414275888,TM48,6.686758986805825
1680,1.3038767185244575,103.78263177920336,AR1L,18.286908099705347
178,1.4070699794626342,103.91172986197292,PL56,13.76930992736993
1261,1.4058229986447557,103.91325810351428,PL60,13.589215622473342
1642,1.3304470907251158,103.9130665612684,B50,5.979556328585577
163,1.4431865217487996,103.79898848589738,W71,23.782251393674617
1463,1.4061149025133164,103.90888986674658,PL61,13.759586253087644
26,1.3711969823159391,103.94941542540158,PM21,9.236994171524382
1022,1.428899474110526,103.8410989313101,Y43,19.540171401403633
1785,1.3333637440670496,103.91520373671187,B54,6.099739269297491
495,1.3327973239279634,103.91425233336754,B91,6.109137085238746
395,1.3358433944930426,103.91901927098642,B57,6.107048936762378
1119,1.332900638736559,103.72248400459584,TJ35,25.383555484229692
1597,1.3323135685345089,103.72177968691923,TJ38,25.447698475047932
211,1.347871241447772,103.70774069535427,BL17,27.34877870973548
620,1.32069015976828,103.75040784611792,P13,22.08446989955958
1726,1.3935832922158498,103.9083695310193,PL66,12.457686788621304
481,1.3666951274857737,103.89816102897976,HG12,10.242275930511884
1265,1.3678351863527216,103.89856384492994,HG13,10.327461460053883
967,1.3691978333066008,103.89642766021036,HG14,10.580367878974398
570,1.2953067953956656,103.80961685626244,DWSV,15.223417404923955
203,1.3538868383953735,103.93284999223344,T48,7.457473001479553
1403,1.3553474172451745,103.93300299723556,TM45,7.613355500724587
493,1.3325499476387692,103.93277014516458,B40,5.157345673970828
805,1.431970592407991,103.79255620965694,W527,23.411374244696542
1154,1.4311391533760722,103.79152360115764,W536,23.432532405969315
1481,1.3601677402123449,103.95164211871018,T76,8.025599505881436
900,1.3339093228742855,103.9119595748316,KE3,6.359850255566994
1090,1.4397622607819605,103.80073252063536,W676,23.37289819935334
878,1.3672748025475827,103.95544278951137,PR2,8.85252863551087
1784,1.416694061920282,103.83100850345676,Y25,19.201326357250707
29,1.4177128949701714,103.8326530461173,Y25M,19.16470799516075
1701,1.36994247153842,103.88150314764592,HG34,11.60245807922027
806,1.3367761554500246,103.93740660996866,B79,5.492425370057709
1862,1.366489722596988,103.88896369112064,HG35,10.793920517396124
1832,1.3715875511419628,103.87488896753706,SE37,12.21158325608509
1766,1.370879739615963,103.87510469851716,SE42,12.136231036653122
1082,1.370494626781832,103.87568240519704,SE43,12.06186781924108
218,1.4045062262447912,103.89534432107756,PL54,14.123613439872921
427,1.4054048056345347,103.89684156866552,PL55,14.149628931927328
1231,1.405533926416853,103.89552843195192,PL62,14.22023689605528
661,1.3276735499716743,103.90434517614048,KU2,6.408370110305216
1070,1.3264214379334087,103.90245155876109,KU3,6.471057629724692
677,1.3255547219734711,103.90005135904396,KU4,6.613651189034238
995,1.3294953548745303,103.90308381076238,KU1,6.649563206910098
1619,1.3299081271871451,103.9010898046754,KU9,6.842688731333242
91,1.32626183868431,103.85896437723326,BR11,10.59727368660422
1382,1.3272150796002635,103.85771827055758,BR12,10.766737109309359
1710,1.3597981073399827,103.89169169862797,HG24,10.016137030547583
1414,1.3723422711738544,103.89908052009024,HG29,10.732230894615231
1810,1.3055243279697766,103.86335272056286,CR6,9.426240892574137
37,1.4509081142282274,103.8236899540714,SB17,22.660098408873182
106,1.4502717325718189,103.82250801852724,SB20,22.68314726505612
1706,1.4501900593556536,103.82478696492068,SB25,22.5229537375629
791,1.4503668722544232,103.82631386478512,SB32,22.43728488057147
428,1.334021141539843,103.91141006264913,KE3M,6.406648989037194
1818,1.349560588526671,103.7115798120472,BL23,26.981726583462834
509,1.356448330445218,103.93111964390374,TM50,7.776359372440084
827,1.4019208645334236,103.91468720451964,PL57,13.128419890173593
1531,1.399914839464193,103.91679073265148,PL58,12.85182494622771
468,1.316572678030688,103.87708327324589,SD1,8.32170903036027
1882,1.3737389560940712,103.95718283417932,PR10,9.589585349884857
1091,1.368041633413594,103.94745603169562,PM20,8.880538938309288
1284,1.3198823805928217,103.74716480513705,P16,22.426032364450677
1541,1.3510860099421371,103.9457646070353,T12,6.993972700024652
155,1.3490239873523138,103.9457387352956,T13,6.764651366305404
30,1.3018210574313145,103.79820565809362,CAM,16.54128868791483
39,1.3759735599231635,103.73707093730016,CKM7,25.23445817365135
435,1.375049975218811,103.73836209061987,CKM8,25.062354229439705
1759,1.3773896839264814,103.90367432817436,HG1C,10.995285990874716
1271,1.4381599526095137,103.79146735457682,W56,23.973695914671023
1848,1.43801245617434,103.79362056980064,W889,23.79079673287162
423,1.4375737147522836,103.79470325887394,W887,23.67073687623106
1486,1.321042154795734,103.85983538215314,MNM,10.288450954211578
1111,1.3526707593180312,103.94710797478446,T25,7.170478720698653
1140,1.4321375604817523,103.79160459490237,W505,23.50142147339336
538,1.3641601337238678,103.96167711032794,PM15,8.618531537423092
1688,1.3738962214127317,103.858139784101,A59,13.675298461136057
606,1.385944779998901,103.77067200118962,BJ21,22.35462695428787
322,1.381315510557872,103.77029114340532,BJ63,22.14624719452624
1278,1.3741059191478615,103.96144271358428,PM4,9.700822604651364
111,1.373770353071396,103.96260801282268,PM5,9.687435001074196
625,1.3700730656196631,103.96101285046048,PM2,9.250800657877436
1228,1.3682919670590967,103.96121606162905,PM9,9.059967047618862
1275,1.368017156377775,103.96032633770312,PRS1,9.012306517462296
1498,1.4449181264567523,103.7951017428098,W76,24.22028158401631
1837,1.446060606235269,103.7938984614406,W77,24.404635538869385
1895,1.4465930294608356,103.79602620929867,W78,24.28382780874882
737,1.3685624312364952,103.95221374215522,PM22,8.961487114229932
1339,1.3687136904214412,103.95268297102702,PR12,8.982218692728878
175,1.2951867450181442,103.81198973307625,DWST,14.95921271632491
1530,1.421503052147678,103.84706547736428,Y51,18.484031285574076
429,1.4227431505685837,103.84556918695264,Y51M,18.694100945543944
1030,1.422924000109214,103.84601639752844,Y53M,18.680468640135484
1036,1.42227374737018,103.84917592983274,Y59M,18.41420079992319
2,1.4211373154277074,103.84811947881192,Y60M,18.38154187692754
1647,1.4200879465053684,103.84758824136432,Y61M,18.323126782116756
357,1.3544353263886084,103.94727897895837,T24,7.366984662465485
298,1.3683924870216928,103.84130175438848,A7,14.695247628842248
